category,context,questions,nr
placeholder,"Cindy er ordblind og diagnosticeret med ADHD.  <br><br>Hun er dygtig, når hun samler sig, om det hun skal, men hun er ofte ukoncentreret. Hun er meget aktiv og social på skolen i frikvartererne, men ofte uoplagt i undervisningen.","<i>Hvordan hjælper vi dobbeltudfordrede elever som Cindy i dag? <br><br>Hvordan samarbejder SPS-vejleder, underviser, læsevejleder i praksis?<br><br>Er der noget, vi kan ændre for at give bedre støtte til elever som Cindy?</i>",1
placeholder,"Julie har svært ved at forstå fysiske og sociale grænser. Hun stirrer på de andre piger, når de klæder om, og hun opsøger ofte omklædningsrummet, selvom hun ikke selv skal klæde om. <br><br>I hendes klasse er eleverne generelt fysiske fx i form af kram, men Julie overgør det i en grad, hvor det bliver ubehageligt for de andre. De ved ikke, hvordan de siger fra og begynder at trække sig fra hende.","<i>Tror I Julie har en diagnose? Hvis ja, hvilken?<br><br>Hvad ville I gøre, hvis I var Julies lærer eller vejleder?<br><br>Er der noget, man kan gøre for at hjælpe klassekammeraterne? </i>",2
placeholder,"Stine har generaliseret angst. Hun har meget fravær og klarer sig ikke godt i skolen fagligt, og forsvinder ofte alene i frikvartererne.",<i>Kan I genkende situationen fra andre elever?<br><br>Hvordan kan man hjælpe hende socialt og fagligt i skolen?</i>,3
placeholder,"Emil har flere diagnoser, er selvmordstruet og har et stofmisbrug. <br><br>Hans lærer mener ikke, at det er forsvarligt at have ham i klassen, da hun er bange for, at han kan finde på at gøre skade på sig selv. Hun ved samtidigt ikke, hvor hun skal søge hjælp, og hvordan hun hjælper Emil bedst.","<i>Hvem kontakter man, hvis en elev vil gøre skade på sig selv eller andre?<br><br>Er der behov for en fælles retningslinje i teamet om dette? <br><br>Hvordan støtter man bedst elever som Emil?</i>",4
placeholder,"Ahmed har ingen diagnoser og får ikke SPS i dag. <br><br>Han er dog både socialt og fagligt meget udfordret. Hans underviser tror ikke, at han kan gennemføre medmindre skolen handler og gør noget snart. <br><br>En SPS-vejleder, som har set Ahmed i undervisningen, er enig med underviser, men de kan se, at han ikke er blevet tildelt SPS ved skolestart.","<i>Kan du genkende situationen fra elever, du har mødt? <br><br>Hvordan afklarer skolen om elever uden en diagnose kan modtage SPS?<br><br>Hvad foreslår du, at vejleder  og underviser gør ved Ahmeds situation?</i>",5
placeholder,"Fatima har diagnosen paranoid skizofreni. Hun er velmedicineret, og dagligdagen på skolen fungerer godt. <br><br>Fatimas vejleder kender ikke diagnosen, og han er i tvivl om, hvordan han bedst støtter hende. Han mener at have læst engang, at mennesker med paranoid skizofreni kan være utilregnelige, og han kan ikke slippe tanken, om hun pludselig kan skade ham eller sig selv.",<i>Hvad ved I om paranoid skizofreni? Har I mødt elever med diagnosen? <br><br>Hvilke typer udfordringer kan vejledere ikke hjælpe Fatima med? Hvorfor?<br><br>Har du oplevet at være utryg ved en elev? Hvad er gode råd til vejledere og lærere?</i>,6
placeholder,"Ulrik har social angst. Det kan være vanskeligt at aflæse Ulrik, og svært at finde ud af, hvor meget støtte han har behov for. Han klarer sig godt skriftligt, men har meget fysisk fravær og klarer sig dårligt mundtligt.",<i>Hvordan kan underviser og vejleder bedst støtte elever som Ulrik?<br><br>Hvad kan Ulrik (ikke) få støtte til gennem SPS?</i>,7
placeholder,"Mustafa har ADHD. Hans vejleder tror, at han har flere diagnoser. <br><br>Mustafa er udadreagerende, og han har en tendens til at være fysisk voldelig, når han bliver frustreret. Han har både truet sin underviser og sin vejleder. Det sker ofte i forbindelse med, at han har svært ved at forstå en opgave.<br><br>","<i>Hvordan kan man forebygge, at elever som Mustafa bliver voldelige?<br><br>Hvad gør man, hvis en elev bliver udadreagerende over for andre elever? <br><br>Hvordan samarbejder SPS-vejleder, underviser, læsevejleder i praksis?</i>",8
placeholder,"Jens har diagnosen borderline. Han har brug for meget struktur og mange gentagelser for at kunne følge med i og få noget ud af undervisningen.<br><br>Jens reagerer med vrede og aggressiv adfærd, når han ikke forstår opgaven. Han fylder i klassen, da han kræver meget opmærksomhed. Samtidig påvirker hans adfærd andre sårbare elever, der fx har angst. ","<i>Hvordan kan man hjælpe elever med at få overblik over deres opgaver?<br><br>Hvad kan man gøre for at forebygge denne problematik? <br><br>Er der noget, man kan gøre for at hjælpe Jens og klassekammeraterne? </i>",9
placeholder,"Clara har ingen formelle diagnoser. Hun fortæller dog ofte, at hun har angst og har højt fravær. <br><br>Clara dukker sjældent op, når hun skal fremlægge, hvilket går ud over hende selv og klassekammeraterne.","<i>Hvad er tegn på, at elever har angst som diagnose? Hvilke former findes?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med angst?<br><br>Hvordan gør man klassefællesskabet til et trygt rum for alle elever?</i>",10
placeholder,"Frederik har ADHD. Han har svært ved at komme i gang med sine opgaver. <br><br>Han deltager i faglige samtaler og stiller spørgsmål i timerne. Men når han selv skal yde noget aktivt, så går han i stå. Frederiks underviser synes, at han har prøvet alt og ved ikke længere, hvad han skal stille op.",<i>Kan I genkende situationen? Hvad gjorde I for at støtte eleven?<br><br>Hvad kan man generelt gøre for at støtte elever som Frederik?<br><br>Er der noget vejleder kan gøre for at støtte eleven og evt. underviseren?</i>,11
placeholder,"Skolen kender ikke til Sashas diagnoser. Når hun er på skolen går det fint, men i perioder dukker hun ikke op til timerne, og kan være umulig at komme i kontakt med. <br><br>Underviser oplever, at Sasha har et lavt selvværd og har en mistanke om at hun måske har et hashmisbrug.","<i>Hvilke redskaber kan man bruge til at engagere elever med højt fravær?<br><br>Hvad gør man, når man fornemmer, at en elev har et misbrug?<br><br>Hvornår skal man tage fat i skolens psykoterapeut for at få hjælp?</i>",12
placeholder,"Martin har autisme. Han siger tit, at det går godt, og at han ikke har nogen problemer. Han har dog - som den eneste i klassen - ikke fået søgt valgfag som den eneste.<br><br>Han vil gerne være som alle de andre, og han har svært ved at erkende og gøre noget ved, når har brug for hjælp.","<i>Hvordan støtter man bedst elever i processen med deadlines?<br><br>Hvordan opdager man dem, som ikke selv siger, at de har brug for hjælp?<br><br>Hvordan hjælper man elever, som ikke erkender, at de har brug for hjælp?</i>",13
placeholder,"Sofie har autisme. Sofie er stille og indadvendt, og hun undgår så vidt muligt alle former for gruppearbejde. Når hun ikke kan undgå gruppearbejdet kan hun blive helt passiv uden at sige noget.<br><br>Når hun engang i mellem er aktiv i gruppearbejdet ignorerer hun ofte, hvad de andre siger og står meget fast på sin egen overbevisning fx om hvordan en problemstilling skal løses.","<i>Har I 2-3 råd til, hvordan man bedst skaber det gode gruppearbejde?<br><br>Hvordan kan man motivere elever som Sofie til at indgå i gruppearbejde?<br><br>Hvordan afgør man, hvem der (ikke) kan indgå i gruppearbejde sammen?</i>",14
placeholder,"Kaj har ADD. Han har svært ved at danne sig et overblik over, hvad han skal i løbet af ugen. Han har altid haft svært ved at koncentrere sig og bliver hurtig træt. <br><br>Kaj har en søn, der kræver meget opmærksomhed, og Kaj oplever ofte, at han ikke har energi til at forberede sig til skolen og få lavet sine lektier.","<i>Hvordan plejer I at hjælpe elever, som har svært ved at få lavet lektier?<br><br>Hvordan hjælper man elever med at få skabt struktur over hverdagen?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med børn?</i>",15
placeholder,"Hanin har en depression. Det har været et hårdt år for hende, og nu er hendes kæreste lige gået fra hende. <br><br>Hun lukker sig meget ind i sig selv og har svært ved at passe sin skolegang. Hun er ellers dygtig fagligt og kan, i perioder uden depression, godt lide at gå i skole.","<i>Kan I genkende situationen fra andre elever?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med depression?<br><br>Hvordan kan man hjælpe hende med at trives, så hun ikke dropper ud?</i>",16
placeholder,"Herluf er tidligere gået ned med stress. Han døjer stadig med eftervirkninger såsom hjernetåge, træthed og koncentrationsbesvær. <br><br>Herluf ønsker hjælp til at strukturere sin tid bedst muligt, så han undgår at gå ned med stress igen. ","<i>Hvad ved du om bivirkningerne efter et stressforløb?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter tidligere stressramte elever?<br><br>Hvordan støtter man bedst elever, så de ikke går ned med stress (igen)?</i>",17
placeholder,"Pernille lider af personlighedsforstyrrelser og har i den forbindelse meget svært ved at indgå i sociale fællesskaber. <br><br>Pernille føler sig ensom, og hun ville ønske, at hun havde nogle flere venner i klassen.",<i>Hvad er 2-3 vigtige ting at vide om personlighedsforstyrrelser? <br><br>Hvordan kan man hjælpe elever som Pernille med at falde bedre til i klassen?<br><br>Kan hendes underviser gøre noget for at hjælpe hende godt på vej?</i>,18
placeholder,"Helga bor for sig selv, da hendes familie bor på Island. Helga har netop fået tilbudt SPS, da hun får hyppige angstanfald og ikke trives særligt godt. <br><br>Hendes vejleder føler sig magtesløs og har svært ved at finde ud af, hvordan hun kan hjælpe, da Helga ofte aflyser støttetimerne med kort varsel.","<i>Hvordan kan man motivere elever som Helga til at tage imod støtten?<br><br>Hvad er 2-3 gode råd til vejledere i arbejdet med angst?<br><br>Er der nogen, vejleder bør kontakte i denne situation fx kollegaer, forældre?<br><br></i>",19
placeholder,"Mohammed er ordblind og lider af slem eksamensangst. Hans første skriftlige prøve nærmer sig, og han er meget nervøs for, at han ikke består.<br><br>Mohammed har fået sin IT-rygsæk, men synes ikke at det fungerer for ham, da han har svært ved at forstå, hvordan han skal bruge hjælpemidlerne.","<i>Hvordan hjælper vi elever med at få gavn af IT-hjælpemidlerne i dag?<br><br>Hvordan kan vejledere og undervisere hjælpe ordblinde elever med eksamensangst? Kan SPS-hold støtte elever med eksamensangst? Hvis ja, hvordan?</i>",20
placeholder,"Safira har ADHD. Hun har et barn på 2 år derhjemme, som tager det meste af hendes opmærksomhed og energi. <br><br>Safira har længe ønsket sig en uddannelse, men er blevet i tvivl om, hvorvidt det er det rigtige for hende. Hun synes, at lektierne er meget hårde at komme igennem.","<i>Hvad er vigtigt, når man skal støtte psykisk udfordrede elever med børn? <br><br>Har du et konkret eksempel, hvor støtten gik godt? Hvorfor?<br><br>Hvornår er det (ikke) OK, at man som mentor lader en elev melde sig ud?</i>",21
placeholder,"Storm betragter sig som nonbinær og ønsker, at alle siger “de/dem” som pronomen i stedet for “han/ham” . <br><br>Nogle af Storms klassekammerater siger alligevel “han” om Storm, hvilket gør Storm meget frustrereret og ked af det.","<i>Hvad er jeres erfaringer med elever, der identificerer sig som nonbinære?<br><br>Hvad er 2-3 råd til at få elever som Storm til at trives socialt i klassen?<br><br>Hvordan kan vejleder og underviser samarbejde om elever som Storm?</i>",22
placeholder,"Dimitros har autisme. Han har flere års erfaringer fra forskellige jobs, men er startet på uddannelsen efter en periode som arbejdsløs.<br><br>På skolen sidder han ofte for sig selv med hovedtelefoner på, og det er svært at få øjenkontakt med ham. I støttetimerne siger han ikke meget.","<i>Hvad er Dimitros udfordring? <br><br>Hvornår og hvordan støtter vejledere og undervisere bedst elever som Dimitros? Hvornår er det OK, at elever IKKE indgår i de sociale fællesskaber?</i>",23
placeholder,"Aneta har diagnosen OCD, men har ikke fortalt om det til andre elever. <br><br>Flere fra klassen har dog bemærket, at hun ofte vasker sine hænder mange gange om dagen. Hun savner at være en del af fællesskabet i klassen, men har svært ved at snakke med de andre.","<i>Hvordan støtter man elever, der ikke er åbne om deres diagnose(r)?<br><br>Hvad kan mentor gøre i undervisningen?<br><br>Hvordan støtter man bedst elever med tvangshandlinger eller lignende?</i>",24
placeholder,"Sune har autisme. Sune blev syg op til sin første mundtlige eksamen og skal nu op til sygeeksamen. <br><br>Sune er meget nervøs og er bange for, at han går helt i sort, når han skal ind til eksamen.","<i>Hvad er praksis på skolen, når elever skal sygemelde sig til en eksamen?<br><br>Hvordan støtter man bedst elever, som er nervøse op til eksamen?<br><br>Kan du fortælle om et støtteforløb, hvor det virkede særligt godt? </i>",25
placeholder,"En vejleder har 10 SPS-elever i en klasse, som alle ønsker støtte til eksamen.<br><br>Vejlederen vil gerne hjælpe dem alle, men kan ikke finde tid til at støtte alle individuelt. Han har derfor tilbudt dem at modtage støtten i hold af 5 mentees. Det er eleverne ikke meget for, og vejlederen frygter, at slet ingen vil tage imod støtten.",<i>Kan I genkende situationen fra virkeligheden på skolen?<br><br>Hvad er fordele og ulemper ved SPS i hold?<br><br>Hvordan kan man motivere elever til at prøve SPS i hold?</i>,26
placeholder,"Dortea er ny vejleder og skal til at have den første opstartssamtale med en elev.<br><br>Hun vil gerne gøre det så godt som muligt, men hun er usikker på, hvordan hun skal gribe det an.","<i>Hvad er 2-3 gode råd til nye vejledere ifm. første samtale?<br><br>Hvad skal man have ud af første samtale? Hvad kan vente til senere?<br><br>Vil I anbefale, at vejleder nævner private oplysninger for at skabe tillid?</i>",27
placeholder,"Mehran har autisme og ADHD. Mehran har modtaget SPS sidste skoleår, og det er nu tid til at evaluere forløbet inden han starter op på næste.<br><br>Mehran har tydeligvis gavn af SPS, men han har ofte svært ved selv at sætte ord på, hvad han har brug for hjælp til, ligesom koncentration ikke er hans stærke side.",<i>Hvordan evaluerer man bedst et SPS-forløb sammen med eleven?<br><br>Hvordan evaluerer man bedst forløbet og udfylder forløbsbeskrivelse sammen med elever som Mehran?</i>,28
placeholder,"Albert modtager SPS, da han er ordblind og psykisk sårbar. Han fandt først ud af, at han var ordblind ifm. skolestart og har både brug for en introduktion af IT-redskaberne til ordblinde samt løbende støtte.<br><br><br><br>Hans vejleder vurderer, at Albert godt kan deltage i et SPS-hold med flere elever, som også skal sættes ind i de læse- og skriveredskaberne. Albert er dog skeptisk og vil helst have al støtte individuelt.","<i>Hvad er fordele og ulemper ved at bruge SPS-hold til ordblinde elever? <br><br>Hvordan vurderer man bedst om elev vil få gavn af et SPS-hold?<br><br>I hvilke situationer er det bedst, at eleven kun får individuel støtte?</i>",29
placeholder,"Ulrikke har generaliseret angst og har svært ved at indgå i et klassefællesskab, da store forsamlinger gør hende utryg. Hun vil gerne have hjælp, så hun kan trives bedre i skolen.<br><br>Ulrikke har kun modtaget individuel SPS, men hendes vejleder overvejer at give SPS i undervisningen, for at få et bedre indtryk af Ulrikke i klassen og klassedynamikken generelt. ","<i>Hvordan bruger I SPS i undervisningen i dag? Hvad virker godt/skidt?<br><br>Hvordan samabejder vejleder med underviser? Hvad må deles om eleven?<br><br>Hvordan ville du være med i undervisningen, hvis du var Ulrikkes vejleder?</i>",30
placeholder,"Lukas  har autisme og er ordblind. Han bryder sig ikke om at være i klassen og er ofte fraværende.<br><br>Lukas har kontaktet sin vejleder og fortalt ham dette, men hans vejleder er i tvivl om, hvordan han skal håndtere det.","<i>Har I før haft elever, som ikke trives i klassen?<br><br>Hvordan håndterer man som vejleder bedst, når elever ikke trives der?<br><br>Skal vejleder inddrage underviseren i indsigterne? Hvis ja, hvordan?</i>",31
placeholder,"Ahmed modtager SPS fordi han har psykiske vanskeligheder, men på det seneste har han haft det så godt, at han har aflyst støttetimerne. <br><br>Hans vejleder overvejer derfor om Ahmed overhovedet har brug for SPS, men han er i tvivl om, hvordan man finder ud af det og taler om det med Ahmed.","<i>Hvordan vil I vurdere, hvorvidt en elev ikke længere skal modtage SPS?<br><br>Hvordan tager man samtalen om evt. udfasning af støtten?<br><br>Er det muligt at skifte vejleder, hvis der ikke er god “kemi”? Hvordan?</i>",32